"type","genotype","N","mean","sd","se","gene"
"1","Ambr","tf2",4,75.1590409119464,144.465206101414,72.2326030507071,"Solyc00g014800.1.1"
"2","Ambr","wt",3,8.6433516521175,8.24639713152673,4.76105960373151,"Solyc00g014800.1.1"
"3","Aother","tf2",4,15.7915328286483,12.9290351874337,6.46451759371683,"Solyc00g014800.1.1"
"4","Aother","wt",5,3.72275341666028,2.92995303114698,1.31031482970524,"Solyc00g014800.1.1"
"5","Bmbr","tf2",3,124.303609420505,215.300167080511,124.303609420505,"Solyc00g014800.1.1"
"6","Bmbr","wt",4,57.4672262209132,114.934452441826,57.4672262209132,"Solyc00g014800.1.1"
"7","Bother","tf2",4,5.63443590866402,2.70757255332809,1.35378627666405,"Solyc00g014800.1.1"
"8","Bother","wt",4,2.39764235309074,2.56441912855038,1.28220956427519,"Solyc00g014800.1.1"
"9","Cmbr","tf2",4,10.0968722062073,8.15597813455925,4.07798906727962,"Solyc00g014800.1.1"
"10","Cmbr","wt",6,4.44190792156329,3.25707363107791,1.32969474180248,"Solyc00g014800.1.1"
"11","Cother","tf2",4,4.19087383266486,4.80663378358715,2.40331689179357,"Solyc00g014800.1.1"
"12","Cother","wt",3,201.303191362217,321.602331849132,185.677192865108,"Solyc00g014800.1.1"
"13","Ambr","tf2",4,30.3734956575996,53.956462166801,26.9782310834005,"Solyc00g112190.2.1"
"14","Ambr","wt",3,3.65274472473278,3.86152730205975,2.22945382732728,"Solyc00g112190.2.1"
"15","Aother","tf2",4,3.09354119326498,1.97523574448191,0.987617872240956,"Solyc00g112190.2.1"
"16","Aother","wt",5,2.87886028374156,2.29832251967246,1.02784107764124,"Solyc00g112190.2.1"
"17","Bmbr","tf2",3,141.261952775291,244.6728793832,141.261952775291,"Solyc00g112190.2.1"
"18","Bmbr","wt",4,3.95778822331875,2.48833310506314,1.24416655253157,"Solyc00g112190.2.1"
"19","Bother","tf2",4,4.96814920752409,3.8334944702497,1.91674723512485,"Solyc00g112190.2.1"
"20","Bother","wt",4,2.15911394885125,2.86783708621109,1.43391854310555,"Solyc00g112190.2.1"
"21","Cmbr","tf2",4,2.93484051359711,1.18042494607882,0.59021247303941,"Solyc00g112190.2.1"
"22","Cmbr","wt",6,3.78067214850613,3.96021741331799,1.61675198885229,"Solyc00g112190.2.1"
"23","Cother","tf2",4,2.25085070783728,1.25161999146213,0.625809995731064,"Solyc00g112190.2.1"
"24","Cother","wt",3,10.8131126034123,12.6341786501017,7.29434644462607,"Solyc00g112190.2.1"
"25","Ambr","tf2",4,16.9413854237344,29.0578113706732,14.5289056853366,"Solyc01g005880.1.1"
"26","Ambr","wt",3,0.627303788489174,0.404459398457743,0.233514742575852,"Solyc01g005880.1.1"
"27","Aother","tf2",4,1.86394426972383,3.02368631418951,1.51184315709476,"Solyc01g005880.1.1"
"28","Aother","wt",5,0.806792675266548,1.0957724702693,0.490044346279004,"Solyc01g005880.1.1"
"29","Bmbr","tf2",3,274.950576940518,476.228368831352,274.950576940518,"Solyc01g005880.1.1"
"30","Bmbr","wt",4,2.87236634253223,5.41283604035629,2.70641802017815,"Solyc01g005880.1.1"
"31","Bother","tf2",4,0.664879372505714,0.96843061282404,0.48421530641202,"Solyc01g005880.1.1"
"32","Bother","wt",4,0.180806419617925,0.230529553648836,0.115264776824418,"Solyc01g005880.1.1"
"33","Cmbr","tf2",4,1.22926827788994,1.72710515691671,0.863552578458353,"Solyc01g005880.1.1"
"34","Cmbr","wt",6,0.451176631409142,0.572990337019972,0.233922325540716,"Solyc01g005880.1.1"
"35","Cother","tf2",4,0.90264044098859,1.80528088197718,0.90264044098859,"Solyc01g005880.1.1"
"36","Cother","wt",3,28.5573933842425,45.1514709161167,26.0682138877275,"Solyc01g005880.1.1"
"37","Ambr","tf2",4,2.80390283815807,1.88466703860834,0.94233351930417,"Solyc01g008920.2.1"
"38","Ambr","wt",3,2.2598316375829,0.395645319534106,0.228425931736631,"Solyc01g008920.2.1"
"39","Aother","tf2",4,45.5405097216021,65.632342524301,32.8161712621505,"Solyc01g008920.2.1"
"40","Aother","wt",5,3.13142782486466,0.91679663806623,0.410003920851873,"Solyc01g008920.2.1"
"41","Bmbr","tf2",3,2.41989674070523,1.3368956016201,0.771857035473791,"Solyc01g008920.2.1"
"42","Bmbr","wt",4,1.9471075231668,2.2308304437202,1.1154152218601,"Solyc01g008920.2.1"
"43","Bother","tf2",4,4.09462664898423,2.76624724697817,1.38312362348908,"Solyc01g008920.2.1"
