"type","genotype","N","mean","sd","se","gene"
"2","Ambr","wt",3,17.1933785503056,21.1250103282748,12.1965303996631,"Solyc00g005070.1.1"
"3","Aother","wt",5,4.52355445945654,1.83511271949832,0.820687357434548,"Solyc00g005070.1.1"
"4","Bmbr","wt",4,12.6456090523282,18.6555995173715,9.32779975868575,"Solyc00g005070.1.1"
"5","Bother","wt",4,3.46158244964946,1.78949353146427,0.894746765732137,"Solyc00g005070.1.1"
"6","Cmbr","wt",6,4.1808263303536,2.81855534841413,1.15067040256785,"Solyc00g005070.1.1"
"7","Cother","wt",3,105.966982457179,168.647913051815,97.3689179987342,"Solyc00g005070.1.1"
"8","Ambr","wt",3,8.6433516521175,8.24639713152673,4.76105960373151,"Solyc00g014800.1.1"
"9","Aother","wt",5,3.72275341666028,2.92995303114698,1.31031482970524,"Solyc00g014800.1.1"
"10","Bmbr","wt",4,57.4672262209132,114.934452441826,57.4672262209132,"Solyc00g014800.1.1"
"11","Bother","wt",4,2.39764235309074,2.56441912855038,1.28220956427519,"Solyc00g014800.1.1"
"12","Cmbr","wt",6,4.44190792156329,3.25707363107791,1.32969474180248,"Solyc00g014800.1.1"
"13","Cother","wt",3,201.303191362217,321.602331849132,185.677192865108,"Solyc00g014800.1.1"
"14","Ambr","wt",3,1.77935170775366,1.29812278027597,0.74947153663352,"Solyc00g036520.1.1"
"15","Aother","wt",5,2.21022617176387,1.33051294925293,0.595023479894656,"Solyc00g036520.1.1"
"16","Bmbr","wt",4,6.96201644407631,5.69635292830768,2.84817646415384,"Solyc00g036520.1.1"
"17","Bother","wt",4,0.971507722974648,1.2841889153877,0.642094457693852,"Solyc00g036520.1.1"
"18","Cmbr","wt",6,2.24146161364084,1.95815073613958,0.79941169049954,"Solyc00g036520.1.1"
"19","Cother","wt",3,13.4720336999762,18.8089953923868,10.8593785529809,"Solyc00g036520.1.1"
"20","Ambr","wt",3,2.04179926848789,1.09523683639968,0.632335282321749,"Solyc00g069880.2.1"
"21","Aother","wt",5,2.17995160480494,1.28623248378041,0.57522065372028,"Solyc00g069880.2.1"
"22","Bmbr","wt",4,2.37761468419174,3.0233670521666,1.5116835260833,"Solyc00g069880.2.1"
"23","Bother","wt",4,3.09765210633675,3.69863488442747,1.84931744221373,"Solyc00g069880.2.1"
"24","Cmbr","wt",6,1.49405226746633,1.35209598699446,0.551990875233537,"Solyc00g069880.2.1"
"25","Cother","wt",3,11.0222041629789,17.0444753664944,9.84063244104149,"Solyc00g069880.2.1"
"26","Ambr","wt",3,2.49539167152962,1.50179805886978,0.867063513556924,"Solyc00g094550.1.1"
"27","Aother","wt",5,3.50076314040227,0.93399532559842,0.417695407741023,"Solyc00g094550.1.1"
"28","Bmbr","wt",4,1.32935069551421,0.652684970675553,0.326342485337776,"Solyc00g094550.1.1"
"29","Bother","wt",4,3.36335307838552,2.27259636298389,1.13629818149194,"Solyc00g094550.1.1"
