Solyc00g005000.2.1	Aspartic proteinase nepenthesin I (AHRD V1 **-- A9ZMF9_NEPAL); contains Interpro domain(s)  IPR001461  Peptidase A1 
Solyc00g005020.1.1	Unknown Protein (AHRD V1)
Solyc00g005040.2.1	Potassium channel (AHRD V1 ***- D0EM91_9ROSI); contains Interpro domain(s)  IPR000595  Cyclic nucleotide-binding 
Solyc00g005050.2.1	Arabinogalactan protein (AHRD V1 ***- B6SST2_MAIZE)
Solyc00g005060.1.1	Unknown Protein (AHRD V1)
Solyc00g005070.1.1	Unknown Protein (AHRD V1)
Solyc00g005080.1.1	Ycf2 (AHRD V1 ***- A6YA23_9MAGN)
Solyc00g005090.1.1	Unknown Protein (AHRD V1)
Solyc00g005100.1.1	Unknown Protein (AHRD V1)
Solyc00g005110.1.1	Unknown Protein (AHRD V1)
Solyc00g005120.1.1	Unknown Protein (AHRD V1)
Solyc00g005130.1.1	Ulp1 protease family C-terminal catalytic domain containing protein (AHRD V1 ***- Q60D46_SOLDE)
Solyc00g005140.1.1	Unknown Protein (AHRD V1)
Solyc00g005150.1.1	HAT dimerisation domain-containing protein-like (AHRD V1 ***- Q5VNQ7_ORYSJ); contains Interpro domain(s)  IPR007021  Protein of unknown function DUF659 
Solyc00g005160.1.1	Retrovirus-related Pol polyprotein from transposon TNT 1-94 (AHRD V1 -*-- POLX_TOBAC)
Solyc00g005170.1.1	Unknown Protein (AHRD V1)
Solyc00g005180.1.1	Unknown Protein (AHRD V1)
Solyc00g005280.1.1	Unknown Protein (AHRD V1)
Solyc00g005420.1.1	Unknown Protein (AHRD V1)
Solyc00g005430.1.1	Unknown Protein (AHRD V1)
Solyc00g005440.1.1	40S ribosomal protein S9 (AHRD V1 ***- Q6H8J2_CATRO); contains Interpro domain(s)  IPR001912  Ribosomal protein S4 
Solyc00g005450.1.1	Unknown Protein (AHRD V1)
Solyc00g005460.1.1	Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR001912  Ribosomal protein S4 
Solyc00g005470.1.1	40S ribosomal protein S9 (AHRD V1 *-*- Q6H8J2_CATRO); contains Interpro domain(s)  IPR001912  Ribosomal protein S4 
Solyc00g005480.1.1	Ubiquitin carrier protein (AHRD V1 *-*- A5B6X4_VITVI); contains Interpro domain(s)  IPR000608  Ubiquitin-conjugating enzyme, E2 
Solyc00g005490.1.1	Unknown Protein (AHRD V1)
Solyc00g005840.2.1	Thioredoxin family protein (AHRD V1 ***- D7MCJ1_ARALY); contains Interpro domain(s)  IPR015467  Thioredoxin, core 
Solyc00g005850.1.1	Unknown Protein (AHRD V1)
Solyc00g005860.1.1	Unknown Protein (AHRD V1)
Solyc00g005870.1.1	Mutator-like transposase (AHRD V1 *-*- Q94HK4_ORYSA); contains Interpro domain(s)  IPR006564  Zinc finger, PMZ-type 
Solyc00g005880.1.1	Unknown Protein (AHRD V1)
Solyc00g005890.2.1	Unknown Protein (AHRD V1)
Solyc00g005900.1.1	Oxygen-evolving enhancer protein 1, chloroplastic (AHRD V1 ***- PSBO_SOLTU); contains Interpro domain(s)  IPR002628  Photosystem II manganese-stabilizing protein PsbO 
Solyc00g005980.1.1	Zinc finger CCHC-type (AHRD V1 *--- Q1SKZ9_MEDTR)
Solyc00g006010.1.1	Unknown Protein (AHRD V1)
Solyc00g006020.1.1	Endonuclease/exonuclease/phosphatase (AHRD V1 ***- A2Q500_MEDTR)
Solyc00g006050.1.1	Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR001457  NADH:ubiquinone/plastoquinone oxidoreductase, chain 6 
Solyc00g006090.1.1	Endonuclease/exonuclease/phosphatase (AHRD V1 *--- A2Q500_MEDTR)
Solyc00g006170.1.1	Zinc finger CCHC-type (AHRD V1 **-- Q1SKZ9_MEDTR)
Solyc00g006250.1.1	Unknown Protein (AHRD V1)
Solyc00g006470.1.1	Unknown Protein (AHRD V1)
Solyc00g006480.1.1	Glucosyltransferase-12 (AHRD V1 *-*- Q8S997_PHAAN); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase 
Solyc00g006490.2.1	Serine/threonine-protein phosphatase 6 regulatory subunit 3 (AHRD V1 **-- SAPS3_HUMAN); contains Interpro domain(s)  IPR007587  SIT4 phosphatase-associated protein 
