"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g013180.1.1"	-2.17492462589698	7.901829265583	3.61701985512613e-05	0.00143913834497545	"NADH-ubiquinone oxidoreductase chain 4 (AHRD V1 ***- Q5M9Z8_TOBAC); contains Interpro domain(s)  IPR001750  NADH:ubiquinone/plastoquinone oxidoreductase "	"ATMG00580"	"NAD4"	"NADH dehydrogenase subunit 4"	92.91	141	7e-70	259	79.0960452
"Solyc00g014830.2.1"	-1.62897469582461	7.93190357902447	0.0018892292423261	0.035937916463222	"NADH-quinone oxidoreductase subunit D (AHRD V1 ***- C4YU74_9RICK); contains Interpro domain(s)  IPR010219  NADH dehydrogenase I, D subunit "	"ATMG00510"	"NAD7"	"NADH dehydrogenase subunit 7"	94.67	394	0	778	99.49367089
"Solyc00g187050.2.1"	-4.83988831665997	6.40967452855568	3.04433631893064e-17	1.49260863585248e-14	"Leucyl aminopeptidase (AHRD V1 ***- D7DWG6_NOSA0); contains Interpro domain(s)  IPR011356  Peptidase M17, leucyl aminopeptidase "	"AT4G30920"	NA	"cytosol aminopeptidase family protein; Identical to Leucine aminopeptidase 3, chloroplast precursor (EC 3.4.11.1) (LAP 3) (Leucyl aminopeptidase 3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3) [Arabidopsis Thaliana] (GB:Q944P7;GB:O65557); similar to cytosol aminopeptidase [Arabidopsis thaliana] (TAIR:AT2G24200.1); similar to cytosol aminopeptidase family protein [Arabidopsis thaliana] (TAIR:AT4G30910.1); similar to Leucine aminopeptidase 2, chloroplast precursor (LAP 2) (Leucyl aminopeptidase 2) (Proline aminopeptidase 2) (Prolyl aminopeptidase 2) (GB:Q42876); similar to neutral leucine aminopeptidase preprotein; preLAP-N; metallo-exopeptidase; leucyl aminopeptidase; LAP [Lycopersicon esculentum] (GB:AAO15916.1); similar to Cytosol aminopeptidase family, catalytic domain, putative [Medicago truncatula] (GB:ABE88725.1); contains InterPro domain Peptidase M17, leucyl aminopeptidase, N-terminal; (InterPro:IPR008283); contains InterPro domain Peptidase M17, leucyl aminopeptidase, C-terminal; (InterPro:IPR000819)"	66.39	488	4e-177	617	95.08840864
"Solyc00g277510.1.1"	-2.26965842586278	5.61559020693879	3.66667915087473e-05	0.00144752873802974	"Photosystem Q(B) protein (AHRD V1 ***- Q95B48_PRUPE); contains Interpro domain(s)  IPR000484  Photosynthetic reaction centre, L/M "	"ATCG00020"	"PSBA"	"Encodes chlorophyll binding protein D1, a part of the photosystem II reaction center core"	91.04	67	4e-23	102	97.01492537
"Solyc00g282510.1.1"	-2.37837086635946	2.65536039930313	0.00209224614302157	0.0388278988129242	"Phenylalanine ammonia-lyase (AHRD V1 ***- B5LAW0_CAPAN); contains Interpro domain(s)  IPR005922  Phenylalanine ammonia-lyase "	"AT2G37040"	"ATPAL1"	"encodes a protein similar to phenylalanine ammonia-lyase"	80.55	581	0	1013	97.97297297
"Solyc01g005270.2.1"	-1.65302831702813	5.86024422598079	0.00275456778349888	0.0484007812039301	"SEC14 cytosolic factor family protein (AHRD V1 **-- D7M8H6_ARALY); contains Interpro domain(s)  IPR001251  Cellular retinaldehyde-binding/triple function, C-terminal "	"AT1G14820"	NA	"SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein; similar to SEC14 cytosolic factor, putative / phosphoglyceride transfer protein, putative [Arabidopsis thaliana] (TAIR:AT1G01630.1); similar to Cellular retinaldehyde binding/alpha-tocopherol transport; Cellular retinaldehyde-binding/triple function, N-terminal [Medicago truncatula] (GB:ABE80207.1); contains InterPro domain Phosphatidylinositol transfer protein-like, N-terminal; (InterPro:IPR011074); contains InterPro domain Cellular retinaldehyde-binding/triple function, C-terminal; (InterPro:IPR001251)"	66.24	237	1e-93	339	97.51037344
"Solyc01g005970.2.1"	-3.54657251658749	4.05421625256195	1.98728607485086e-08	1.6687713288209e-06	"Kelch-like protein 3 (AHRD V1 *-*- KLHL3_PONAB); contains Interpro domain(s)  IPR015915  Kelch-type beta propeller "	"AT1G55270"	NA	"kelch repeat-containing F-box family protein; similar to kelch repeat-containing F-box family protein [Arabidopsis thaliana] (TAIR:AT1G22040.1); similar to Cyclin-like F-box; Serine/threonine protein phosphatase, BSU1 [Medicago truncatula] (GB:ABE78679.1); similar to Os10g0409900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001064574.1); similar to Cyclin-like F-box [Medicago truncatula] (GB:ABE86510.1); contains InterPro domain Cyclin-like F-box; (InterPro:IPR001810); contains InterPro domain Galactose oxidase, central; (InterPro:IPR011043); contains InterPro domain Kelch repeat; (InterPro:IPR006652)"	79.68	438	0	746	99.543379
"Solyc01g006340.2.1"	-4.00889124305542	4.94082729804479	1.54952814914506e-10	1.97909902007191e-08	"ATP dependent RNA helicase (AHRD V1 ***- B3LKV6_YEAS1); contains Interpro domain(s)  IPR011545  DNA/RNA helicase, DEAD/DEAH box type, N-terminal "	"AT3G02065"	NA	"ATP binding / ATP-dependent helicase; Identical to DEAD-box ATP-dependent RNA helicase 41 (EC 3.6.1.-) (RH41) [Arabidopsis Thaliana] (GB:Q3EBD3;GB:Q8VZ85); similar to DEAD box RNA helicase, putative [Arabidopsis thaliana] (TAIR:AT2G42520.1); similar to putative DEAD box [Oryza sativa (japonica cultivar-group)] (GB:BAD15860.1); contains InterPro domain DEAD/DEAH box helicase; (InterPro:IPR001410); contains InterPro domain Zinc finger, HIT-type; (InterPro:IPR007529); contains InterPro domain DEAD/DEAH box helicase, N-terminal; (InterPro:IPR011545); contains InterPro domain Helicase, C-terminal; (InterPro:IPR001650)"	65.1	510	0	692	98.25242718
"Solyc01g006490.2.1"	-4.8880706268952	6.53455438663285	1.27544747097011e-16	5.38486836424298e-14	"Protein YdiU (AHRD V1 ***- B5N5F2_SALET); contains Interpro domain(s)  IPR003846  Uncharacterised protein family UPF0061 "	"AT5G13030"	NA	"similar to Os06g0320700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001057514.1); similar to hypothetical protein ebA6654 [Azoarcus sp. EbN1] (GB:YP_160826.1); contains InterPro domain Protein of unknown function UPF0061; (InterPro:IPR003846)"	77.64	568	0	959	98.60869565
"Solyc01g006740.2.1"	5.46876041448502	2.99957120336859	0.000658633146501635	0.0157398823799974	"Sucrose phosphate phosphatase (AHRD V1 ***- Q5J3P0_MALDO); contains Interpro domain(s)  IPR012847  Sucrose phosphatase, plant and cyanobacteria "	"AT2G35840"	NA	"sucrose-phosphatase 1 (SPP1); similar to sucrose-phosphatase, putative [Arabidopsis thaliana] (TAIR:AT1G51420.1); similar to sucrose phosphate phosphatase [Malus x domestica] (GB:AAS79792.1); contains InterPro domain HAD-superfamily hydrolase subfamily IIB; (InterPro:IPR006379); contains InterPro domain Sucrose phosphatase, plant and cyanobacteria; (InterPro:IPR012847); contains InterPro domain Sucrose-phosphate phosphatase; (InterPro:IPR006378); contains InterPro domain Sucrose-6-phosphate phosphohydrolase C-terminal; (InterPro:IPR013679); contains InterPro domain Sucrose-6F-phosphate phosphohydrolase, plant and cyanobacteria; (InterPro:IPR006380)"	68.45	431	5e-172	600	98.62385321
"Solyc01g007280.2.1"	-1.71011609241065	6.41660537625041	0.00168429536484458	0.0329043769283712	"30S ribosomal protein S4 chloroplastic (AHRD V1 ***- B5MF80_PETIN); contains Interpro domain(s)  IPR005709  Ribosomal protein S4, bacterial-type "	"ATCG00380"	"RPS4"	"Chloroplast encoded ribosomal protein S4"	88.06	201	9e-98	352	99.00990099
"Solyc01g007290.1.1"	-1.73880482246104	5.59799189465995	0.00177787695902964	0.0342483547532212	"NAD(P)H-quinone oxidoreductase subunit J (AHRD V1 ***- NDHJ_TRIEI); contains Interpro domain(s)  IPR020396  NADH:ubiquinone oxidoreductase, 30 kDa subunit, conserved site  IPR001268  NADH:ubiquinone oxidoreductase, 30 kDa subunit "	"ATCG00420"	"NDHJ"	"Encodes NADH dehydrogenase subunit J.  Its transcription is increased upon sulfur depletion."	89.24	158	9e-82	298	98.74213836
"Solyc01g007330.2.1"	-2.25661595441534	9.72545307209415	1.4746536275822e-05	0.000631359450299209	"Ribulose bisphosphate carboxylase large chain (AHRD V1 ***- RBL_SOLLC); contains Interpro domain(s)  IPR000685  Ribulose bisphosphate carboxylase, large subunit, C-terminal "	"ATCG00490"	"RBCL"	"large subunit of RUBISCO."	93.49	476	0	901	99.37238494
"Solyc01g007450.1.1"	-2.15037014115267	6.34540704728936	7.23219106531552e-05	0.0025563272558542	"50S ribosomal protein L33 chloroplastic (AHRD V1 ***- D3WBK4_9AQUA); contains Interpro domain(s)  IPR001705  Ribosomal protein L33 "	"ATCG00640"	"RPL33"	"encodes a chloroplast ribosomal protein L33, a constituent of the large subunit of the ribosomal complex"	84.85	66	5e-29	122	97.01492537
"Solyc01g007500.2.1"	-1.76711063499882	8.9801400435081	0.000691069802100052	0.0164118280033105	"Photosystem II CP47 chlorophyll apoprotein (AHRD V1 ***- D3WBA3_9BORA); contains Interpro domain(s)  IPR017486  Photosystem II, PsbB "	"ATCG00680"	"PSBB"	"encodes for CP47, subunit of the photosystem II reaction center."	98.62	507	0	1000	91.33574007
"Solyc01g007520.2.1"	-1.88767512328216	4.64407679791595	0.00118214827973345	0.024954821810651	"Photosystem II reaction center protein H (AHRD V1 ***- C6JT33_9MYRT); contains Interpro domain(s)  IPR001056  Photosystem II phosphoprotein PsbH "	"ATCG00710"	"PSBH"	"Encodes a 8 kD phosphoprotein that is a component of the photosystem II oxygen evolving core. Its exact molecular function has not been determined but it may play a role in mediating electron transfer between the secondary quinone acceptors, QA and QB, associated with the acceptor side of PSII."	93.15	73	8e-34	138	97.2972973
