itag	go
Solyc00g005000.2.1	GO:0019538
Solyc00g005040.2.1	GO:0016020
Solyc00g005050.2.1	GO:0005829
Solyc00g005080.1.1	GO:0000166
Solyc00g005130.1.1	GO:0019538
Solyc00g005150.1.1	GO:0003676
Solyc00g005160.1.1	GO:0005488
Solyc00g005440.1.1	GO:0005198
Solyc00g005470.1.1	GO:0005198
Solyc00g005480.1.1	GO:0000003
Solyc00g005840.2.1	GO:0019725
Solyc00g005860.1.1	GO:0005488
Solyc00g005870.1.1	GO:0005488
Solyc00g005900.1.1	GO:0016020
Solyc00g006090.1.1	GO:0005488
Solyc00g006170.1.1	GO:0005488
Solyc00g006480.1.1	GO:0008152
Solyc00g006490.2.1	GO:0005488
Solyc00g006550.1.1	GO:0008152
Solyc00g006560.1.1	GO:0016740
Solyc00g006600.1.1	GO:0003676
Solyc00g006800.2.1	GO:0016740
Solyc00g006810.2.1	GO:0019538
Solyc00g006820.2.1	GO:0016020
Solyc00g006830.2.1	GO:0016020
Solyc00g006890.1.1	GO:0008152
Solyc00g007010.2.1	GO:0016787
Solyc00g007020.1.1	GO:0009536
Solyc00g007030.1.1	GO:0006464
Solyc00g007060.2.1	GO:0016301
Solyc00g007070.2.1	GO:0005622
Solyc00g007080.2.1	GO:0016020
Solyc00g007090.2.1	GO:0016740
Solyc00g007100.2.1	GO:0000166
Solyc00g007110.2.1	GO:0005623
Solyc00g007120.2.1	GO:0005623
Solyc00g007130.2.1	GO:0016020
Solyc00g007160.1.1	GO:0005488
Solyc00g007180.1.1	GO:0003824
Solyc00g007190.2.1	GO:0005623
Solyc00g007200.2.1	GO:0005623
Solyc00g007220.2.1	GO:0008150
Solyc00g007230.1.1	GO:0005622
Solyc00g007240.1.1	GO:0005488
Solyc00g007250.1.1	GO:0004518
Solyc00g007260.2.1	GO:0016787
Solyc00g007270.2.1	GO:0008135
Solyc00g007290.1.1	GO:0019538
Solyc00g007300.2.1	GO:0005886
Solyc00g007570.1.1	GO:0005623
Solyc00g007580.1.1	GO:0005488
Solyc00g007600.1.1	GO:0003677
Solyc00g008680.2.1	GO:0007165
Solyc00g009020.2.1	GO:0005730
Solyc00g009030.1.1	GO:0005215
Solyc00g009040.2.1	GO:0003723
Solyc00g009050.1.1	GO:0009536
Solyc00g009060.2.1	GO:0006139
Solyc00g009090.2.1	GO:0004872
Solyc00g009100.2.1	GO:0003723
Solyc00g009110.2.1	GO:0016787
Solyc00g009120.2.1	GO:0003824
Solyc00g009130.2.1	GO:0003824
Solyc00g009140.2.1	GO:0003824
Solyc00g009540.1.1	GO:0016787
Solyc00g009760.2.1	GO:0003824
Solyc00g010210.1.1	GO:0008152
Solyc00g010540.1.1	GO:0005622
Solyc00g010750.1.1	GO:0005730
Solyc00g010760.1.1	GO:0016787
Solyc00g011550.1.1	GO:0008150
Solyc00g011560.1.1	GO:0007275
Solyc00g011660.1.1	GO:0003677
Solyc00g011870.1.1	GO:0005623
Solyc00g011890.2.1	GO:0005737
Solyc00g012310.1.1	GO:0003723
Solyc00g012640.1.1	GO:0008152
Solyc00g012660.1.1	GO:0005515
Solyc00g012680.1.1	GO:0005488
Solyc00g013120.2.1	GO:0003824
Solyc00g013130.2.1	GO:0005737
Solyc00g013140.1.1	GO:0016020
Solyc00g013160.1.1	GO:0005739
Solyc00g013180.1.1	GO:0003824
Solyc00g014790.2.1	GO:0005739
Solyc00g014800.1.1	GO:0005488
Solyc00g014830.2.1	GO:0006091
Solyc00g014850.1.1	GO:0005739
Solyc00g014960.1.1	GO:0005515
Solyc00g014970.1.1	GO:0005737
Solyc00g014980.1.1	GO:0003824
Solyc00g014990.1.1	GO:0009536
Solyc00g015000.1.1	GO:0016740
Solyc00g015720.1.1	GO:0016740
Solyc00g015730.1.1	GO:0003700
Solyc00g015740.1.1	GO:0000166
Solyc00g015750.1.1	GO:0000166
Solyc00g015760.1.1	GO:0003824
Solyc00g015770.1.1	GO:0000166
Solyc00g016480.1.1	GO:0005623
Solyc00g016490.1.1	GO:0005515
Solyc00g017210.1.1	GO:0005618
Solyc00g017220.1.1	GO:0009607
Solyc00g017230.1.1	GO:0016043
Solyc00g017530.1.1	GO:0008219
Solyc00g017540.1.1	GO:0005737
Solyc00g017550.1.1	GO:0005737
Solyc00g017870.1.1	GO:0005215
Solyc00g017880.1.1	GO:0000166
Solyc00g017900.1.1	GO:0003723
Solyc00g017910.1.1	GO:0016301
Solyc00g017920.1.1	GO:0006091
Solyc00g017930.1.1	GO:0005737
Solyc00g018770.1.1	GO:0005515
Solyc00g019620.1.1	GO:0005623
Solyc00g019730.1.1	GO:0003824
Solyc00g019740.1.1	GO:0003824
Solyc00g019950.1.1	GO:0005488
Solyc00g020040.1.1	GO:0005623
Solyc00g020840.2.1	GO:0000166
Solyc00g020970.1.1	GO:0005488
Solyc00g020990.1.1	GO:0005623
Solyc00g021500.1.1	GO:0005488
Solyc00g021510.1.1	GO:0016020
Solyc00g021520.1.1	GO:0016787
Solyc00g021530.1.1	GO:0016787
Solyc00g021630.1.1	GO:0003824
Solyc00g021640.2.1	GO:0005198
Solyc00g021660.1.1	GO:0005829
Solyc00g022100.1.1	GO:0005840
Solyc00g022110.2.1	GO:0005840
Solyc00g022920.1.1	GO:0003824
Solyc00g023020.1.1	GO:0003824
Solyc00g023030.1.1	GO:0009058
Solyc00g023040.1.1	GO:0009058
Solyc00g023050.1.1	GO:0006259
Solyc00g023250.1.1	GO:0003824
Solyc00g023260.1.1	GO:0005829
Solyc00g023270.1.1	GO:0040029
