"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005070.1.1"	5.47739059909921	6.83169385477747	9.95270421886967e-18	2.86818839761971e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g005080.1.1"	1.92901629026892	4.9083407080119	0.0013380552953182	0.0414223660281066	"Ycf2 (AHRD V1 ***- A6YA23_9MAGN)"	"ATCG01280"	"YCF2.2"	"Identical to Protein ycf2 (ycf2-B) [Arabidopsis Thaliana] (GB:P56786); similar to hypothetical chloroplast RF2 [Vitis vinifera] (GB:YP_567121.1); similar to Hypothetical protein [Gossypium barbadense] (GB:BAF41290.1); similar to hypothetical chloroplast RF2 [Gossypium hirsutum] (GB:YP_538978.1); contains InterPro domain Chloroplast Ycf2; (InterPro:IPR008543); contains InterPro domain AAA ATPase; (InterPro:IPR003593); contains InterPro domain AAA ATPase, central region; (InterPro:IPR003959)"	91.25	80	2e-38	153	79.7979798
"Solyc00g005870.1.1"	3.28732527974058	3.85342047567906	5.25437217866446e-06	0.000409217521697222	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g014790.2.1"	2.30567143752086	3.99810216143	0.000436711100972774	0.0170489432276317	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g014800.1.1"	6.36195936832485	7.77448547204999	1.6878188058856e-23	8.10664487069296e-21	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g026160.2.1"	2.38500514364316	4.24164900530339	0.000396860773758604	0.0155314648495651	"Ferric reductase oxidase (AHRD V1 **** D6RVS5_HORVU); contains Interpro domain(s)  IPR013121  Ferric reductase, NAD binding "	"AT5G23980"	"ATFRO4"	"Encodes a ferric chelate reductase that is expressed at low levels in roots,shoots and cotyledons, but not flowers. Its transcription is regulated by FIT1."	58.46	455	3e-140	495	99.5505618
"Solyc00g036520.1.1"	3.21956647479905	3.96608912473945	1.77972835330561e-05	0.00115609403278254	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g069880.2.1"	3.44388256365749	3.71926594331774	3.19094368684888e-05	0.00184383876426878	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g121730.1.1"	7.39164242500488	9.00371999304944	1.4262317817523e-29	1.73890567236723e-26	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g131710.1.1"	7.04088352144113	10.2492195941601	6.43476853360456e-29	7.28507723268802e-26	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g166690.1.1"	6.4157012074943	5.96466740335961	7.12464774519332e-20	2.50945926136254e-17	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g195360.1.1"	5.087005155536	7.91353566944588	2.50610723714782e-17	7.09317851942731e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g206460.1.1"	5.35830147167235	8.0267547601922	1.10375121874116e-18	3.64467850355153e-16	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g212260.1.1"	2.78553163205372	3.5130967152401	0.00016889300553832	0.00760498334597265	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g281110.1.1"	2.0956080788085	5.33707473205302	0.000482547193070376	0.0183414220867277	NA	NA	NA	NA	NA	NA	NA	NA	NA
