"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005840.2.1"	4.22628060635741	7.98319613616896	1.36036616705113e-06	0.000196566176652913	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g006800.2.1"	3.31349742184282	9.62037103100529	5.37450669579924e-05	0.0034391072257102	"Transaldolase (AHRD V1 ***- Q9FVH1_SOLLC); contains Interpro domain(s)  IPR014634  Transaldolase, bacterial/plant type "	"AT5G13420"	NA	"transaldolase, putative; similar to transaldolase [Solanum tuberosum] (GB:AAB54016.1); similar to transaldolase-like protein [Solanum tuberosum] (GB:ABB17002.1); similar to transaldolase [Lycopersicon esculentum] (GB:AAG16981.1); contains InterPro domain Transaldolase; (InterPro:IPR001585); contains InterPro domain Transaldolase subfamily; (InterPro:IPR004732)"	80.83	412	0	658	93.83561644
"Solyc00g008580.1.1"	2.81149804687109	5.65728073462851	0.00176129754017736	0.046810252908055	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011150.1.1"	2.8715334516845	6.88366155418381	0.000627627700004796	0.022505156397715	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g011160.1.1"	2.98165610559593	7.32531704950603	0.00125463967191705	0.0371403881784125	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g014800.1.1"	-6.38250232129684	8.3449512160344	1.71926201122672e-08	8.09384186833637e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g082550.1.1"	3.41693783529843	7.92978075053998	7.95765423359918e-05	0.00463211243438716	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g121730.1.1"	-3.29235858865017	8.45550233294327	0.00015170271692453	0.00779559665773448	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g131710.1.1"	-4.89076705862791	9.65232627191149	1.02055544999758e-07	2.82723024805482e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g142160.1.1"	-3.06811042410802	5.71628767794673	0.000851585226750194	0.02774114910534	NA	NA	NA	NA	NA	NA	NA	NA	NA
