"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005070.1.1"	5.3865264515209	7.06496299330113	1.18421222171884e-16	3.64040768864862e-14	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g014800.1.1"	6.62180909968533	7.99144668975702	1.54743979059256e-22	7.58148782403444e-20	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g036520.1.1"	3.09831361233054	3.97263821695231	1.2752607894707e-05	0.000989779141451565	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g069880.2.1"	2.83085456394932	3.75028045149263	0.000186467638574401	0.0111103074705347	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g094550.1.1"	2.35989772859021	4.21511667864426	0.000588321532751209	0.0285563621996082	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g095760.1.1"	5.68136452431686	5.21380167902447	6.73600937885914e-14	1.62047327312398e-11	"1-aminocyclopropane-1-carboxylate synthase (AHRD V1 ***- Q96580_SOLLC); contains Interpro domain(s)  IPR004839  Aminotransferase, class I and II "	"AT3G61510"	"ACS1"	"Encodes a member of the 1-aminocyclopropane-1-carboxylate (ACC) synthase (S-adenosyl-L-methionine methylthioadenosine-lyase, EC 4.4.1.14) gene family. The gene is transcriptionally active but enzymatically inactive. The predicted amino-acid sequence of ACS1 is missing the highly conserved tripeptide, Thr-Asn-Pro (TNP), between Ile204 and Ser205. Introduction of TNP into ACS1 restores the ACS activity."	58.76	291	2e-95	345	83.53293413
"Solyc00g105750.1.1"	5.68593398107706	5.55526830770175	6.53366530955146e-15	1.62594928131981e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g121730.1.1"	7.05910130696044	9.23638522242877	5.46480672060181e-26	6.59055690504579e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g131710.1.1"	6.82690690362868	10.4760062686313	8.35328921600538e-26	8.18217703057572e-23	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g166690.1.1"	7.27986888425452	6.13071038417307	1.01962059501026e-19	3.71758411362113e-17	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g187050.2.1"	-3.03113483278378	5.68260076478454	1.1296175544671e-05	0.000887668626241047	"Leucyl aminopeptidase (AHRD V1 ***- D7DWG6_NOSA0); contains Interpro domain(s)  IPR011356  Peptidase M17, leucyl aminopeptidase "	"AT4G30920"	NA	"cytosol aminopeptidase family protein; Identical to Leucine aminopeptidase 3, chloroplast precursor (EC 3.4.11.1) (LAP 3) (Leucyl aminopeptidase 3) (Proline aminopeptidase 3) (EC 3.4.11.5) (Prolyl aminopeptidase 3) [Arabidopsis Thaliana] (GB:Q944P7;GB:O65557); similar to cytosol aminopeptidase [Arabidopsis thaliana] (TAIR:AT2G24200.1); similar to cytosol aminopeptidase family protein [Arabidopsis thaliana] (TAIR:AT4G30910.1); similar to Leucine aminopeptidase 2, chloroplast precursor (LAP 2) (Leucyl aminopeptidase 2) (Proline aminopeptidase 2) (Prolyl aminopeptidase 2) (GB:Q42876); similar to neutral leucine aminopeptidase preprotein; preLAP-N; metallo-exopeptidase; leucyl aminopeptidase; LAP [Lycopersicon esculentum] (GB:AAO15916.1); similar to Cytosol aminopeptidase family, catalytic domain, putative [Medicago truncatula] (GB:ABE88725.1); contains InterPro domain Peptidase M17, leucyl aminopeptidase, N-terminal; (InterPro:IPR008283); contains InterPro domain Peptidase M17, leucyl aminopeptidase, C-terminal; (InterPro:IPR000819)"	66.39	488	4e-177	617	95.08840864
"Solyc00g195360.1.1"	5.48279636762527	8.11516566741281	3.45119595067684e-18	1.12724687738982e-15	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g206460.1.1"	4.64208671838076	8.26864281384666	1.14834230601127e-14	2.81307979275699e-12	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g281110.1.1"	2.84005064892914	5.1587843359962	5.86558825777618e-06	0.000497084825434675	NA	NA	NA	NA	NA	NA	NA	NA	NA
