"ITAG"	"logFC"	"logCPM"	"PValue"	"FDR"	"SGN_annotation"	"AGI"	"symbol"	"gene_name"	"X..identity"	"alignment.length"	"e.value"	"bit.score"	"percent.query.align"
"Solyc00g005070.1.1"	5.5551268788878	7.82715961628842	1.71326322804727e-05	0.00665577919372199	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g014800.1.1"	7.13967245284359	8.67953133764249	2.30053752298781e-07	0.000438314228646056	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g121730.1.1"	5.42429692994843	9.89013266208702	2.44105314936318e-06	0.00189708372649983	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g131710.1.1"	6.83451183301505	11.0704854719446	1.63714952539837e-08	0.000120870749460161	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc00g195360.1.1"	3.87915704914952	8.85604437536347	0.000275683911352984	0.0484612932742638	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g007250.2.1"	-4.98607113450265	7.96248041595206	0.000122467505757707	0.0258422374402156	"U3 small nucleolar ribonucleoprotein protein IMP4 (AHRD V1 ***- D0N3A6_PHYIN); contains Interpro domain(s)  IPR007109  Brix domain "	"AT1G63780"	"IMP4"	"Small nucleolar ribonucleoprotein protein involved in ribosomal RNA processing. Located in nucleolus and cajal bodies."	77.89	294	8e-137	483	99.31972789
"Solyc01g009390.2.1"	4.2324284517017	7.89687746499468	0.000126546841400847	0.0263181783116183	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g014280.2.1"	-4.82838163998697	9.61403468112923	0.000168468203319438	0.0323065128599327	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g015220.1.1"	7.45346271192911	7.82272264468242	1.26294947276186e-06	0.0011655444946751	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g016950.1.1"	5.43593010771043	7.91242307399992	1.0213776322338e-05	0.00520057314398771	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g022770.1.1"	7.21099586034399	8.19931950782533	3.22496942307505e-06	0.00216454084096028	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Solyc01g022780.1.1"	4.80504920975274	9.2465340434141	2.16902527811665e-05	0.00781166518455375	NA	NA	NA	NA	NA	NA	NA	NA	NA
