itag,length
Solyc00g005040.2.1,357
Solyc00g005050.2.1,588
Solyc00g005060.1.1,273
Solyc00g005070.1.1,81
Solyc00g005080.1.1,297
Solyc00g005150.1.1,1143
Solyc00g005160.1.1,405
Solyc00g005430.1.1,165
Solyc00g005440.1.1,510
Solyc00g005840.2.1,699
Solyc00g005880.1.1,558
Solyc00g006470.1.1,561
Solyc00g006490.2.1,2559
Solyc00g006600.1.1,1134
Solyc00g006670.2.1,96
Solyc00g006680.1.1,228
Solyc00g006690.2.1,333
Solyc00g006800.2.1,1314
Solyc00g006810.2.1,672
Solyc00g006820.2.1,1962
Solyc00g006830.2.1,3294
Solyc00g006840.2.1,192
Solyc00g006900.1.1,486
Solyc00g007010.2.1,1749
Solyc00g007060.2.1,1248
Solyc00g007070.2.1,795
Solyc00g007080.2.1,513
Solyc00g007090.2.1,555
Solyc00g007100.2.1,1347
Solyc00g007110.2.1,1344
Solyc00g007120.2.1,2253
Solyc00g007130.2.1,1266
Solyc00g007140.1.1,324
Solyc00g007150.2.1,174
Solyc00g007200.2.1,1665
Solyc00g007260.2.1,1383
Solyc00g007270.2.1,738
Solyc00g007300.2.1,1704
Solyc00g007590.1.1,396
Solyc00g008580.1.1,207
Solyc00g008680.2.1,1008
Solyc00g009020.2.1,729
Solyc00g009050.1.1,1095
Solyc00g009060.2.1,600
Solyc00g009080.2.1,339
Solyc00g009090.2.1,3267
Solyc00g009100.2.1,1542
Solyc00g009110.2.1,1959
Solyc00g009120.2.1,645
Solyc00g009130.2.1,246
Solyc00g009140.2.1,645
Solyc00g009760.2.1,447
Solyc00g010530.1.1,177
Solyc00g010760.1.1,699
Solyc00g010770.1.1,711
Solyc00g011150.1.1,207
Solyc00g011160.1.1,105
Solyc00g011170.1.1,219
Solyc00g011880.2.1,471
Solyc00g011890.2.1,3111
Solyc00g012430.1.1,177
Solyc00g012440.1.1,381
Solyc00g013110.1.1,267
Solyc00g013120.2.1,420
Solyc00g013130.2.1,903
Solyc00g013140.1.1,1386
Solyc00g013150.1.1,294
Solyc00g013160.1.1,513
Solyc00g013170.1.1,210
Solyc00g013180.1.1,531
Solyc00g014790.2.1,324
Solyc00g014800.1.1,492
Solyc00g014820.2.1,516
Solyc00g014830.2.1,1185
Solyc00g014840.1.1,342
Solyc00g014850.1.1,312
Solyc00g015600.1.1,156
Solyc00g019730.1.1,441
Solyc00g019740.1.1,471
Solyc00g019750.1.1,210
Solyc00g019950.1.1,573
Solyc00g019960.1.1,231
Solyc00g019970.2.1,381
Solyc00g019980.2.1,528
Solyc00g019990.1.1,216
Solyc00g020000.1.1,174
Solyc00g020010.1.1,228
Solyc00g020020.2.1,501
Solyc00g020030.1.1,201
Solyc00g020040.1.1,621
Solyc00g021630.1.1,654
Solyc00g021640.2.1,1224
Solyc00g021650.1.1,231
Solyc00g022070.1.1,153
Solyc00g022080.1.1,213
Solyc00g022090.1.1,354
Solyc00g022100.1.1,480
Solyc00g022110.2.1,789
Solyc00g023570.1.1,330
Solyc00g023580.1.1,258
Solyc00g023590.2.1,672
Solyc00g023600.1.1,267
Solyc00g023700.2.1,363
Solyc00g023710.1.1,702
Solyc00g024150.2.1,633
Solyc00g025290.1.1,486
Solyc00g026160.2.1,1335
Solyc00g027770.2.1,954
Solyc00g030100.1.1,174
Solyc00g030520.2.1,726
Solyc00g036520.1.1,558
Solyc00g036540.1.1,282
Solyc00g039990.2.1,633
Solyc00g042640.1.1,2259
Solyc00g042840.1.1,1137
Solyc00g044350.2.1,240
Solyc00g047190.1.1,318
Solyc00g047200.1.1,234
Solyc00g047700.2.1,489
Solyc00g049210.1.1,1770
Solyc00g049220.1.1,207
Solyc00g050130.1.1,1383
Solyc00g050430.2.1,1032
Solyc00g052430.2.1,1140
Solyc00g056680.1.1,1614
Solyc00g059100.2.1,978
Solyc00g068970.2.1,654
Solyc00g068980.1.1,165
Solyc00g072100.2.1,594
Solyc00g082150.2.1,1209
Solyc00g082550.1.1,510
Solyc00g085070.2.1,1392
Solyc00g090870.2.1,369
Solyc00g091170.2.1,1128
Solyc00g093300.1.1,750
Solyc00g094520.1.1,186
Solyc00g094530.1.1,390
Solyc00g094540.1.1,330
Solyc00g094550.1.1,234
Solyc00g095760.1.1,1002
Solyc00g096460.1.1,222
Solyc00g097960.1.1,441
Solyc00g098560.2.1,738
Solyc00g099580.1.1,1380
Solyc00g102000.1.1,195
Solyc00g105750.1.1,1500
Solyc00g110870.2.1,1314
Solyc00g112180.1.1,153
Solyc00g112190.2.1,519
Solyc00g117450.2.1,573
Solyc00g118680.2.1,99
Solyc00g118690.1.1,261
Solyc00g121730.1.1,1737
Solyc00g125980.1.1,204
Solyc00g125990.1.1,645
Solyc00g126000.1.1,153
Solyc00g126010.1.1,174
Solyc00g127660.2.1,135
